,message
0,Привет! Я хочу заказать букет роз доставить в Питер сегодня до 15:00. Можно у вас такое оформить?
1,"Привет, хочу заказать доставку цветов в Новосибирск, сколько это будет стоить?"
2,"Здравствуйте, сколько стоит доставка цветов в г. Екатеринбурге?"
3,"Здравствуйте, сколько стоит доставка цветов в город Екб? Нужно до завтра. Спасибо."
4,"Привет! Хочу заказать цветы на день рождения подруги в г. НСК, можете порекомендовать что-нибудь яркое и красивое? Спасибо!#"
5,4. Добрый день! Я бы хотел заказать цветы для своей девушки в Нижнем. Можете сделать доставку с хорошим поздравлением?
6,"Добрый день, доставка цветов в Астану возможна сегодня? Нужен букет на юбилей."
7,"Привет, нужно срочно заказать цветы на день рождения друга в Нижнем Новгороде, вы сможете помочь?"
8,"Здравствуй! Сделайте мне красивый букет роз и орхидей и доставьте в Новосибирск, пожалуйста."
9,"Добрый день! Подскажите, пожалуйста, какие цветы у вас сейчас в наличии для доставки в С-Петербург?"
10,"Привет, заказать розы в Москве, можно?"
11,Здравствуйте. Я хочу заказать цветы в Петербурге на день рождения друга. Сколько это будет стоить и как быстро можно доставить?
12,Здравствуйте! Доставка цветов в Санкт-Петербурге - это реально? Надежно ли ваше агентство?
13,"Здравствуйте, доставка цветов в Москва нужна срочно! Сколько будет стоить доставка сегодня?"
14,"Здравствуйте, доставите цветы в Екатеринбург вечером, чтобы удивить родных?"
15,"Здравствуйте, я бы хотел заказать букет роз для своей девушки, живущей в Алматы. Можно ли у вас выбрать цветы и доставить их к ней домой?"
16,"Здравствуйте, интересует заказ цветов в Новосиб. Есть ли варианты поздравительных открыток к букетам?"
17,"Привет, хочу заказать букет роз для мамы, доставьте пожалуйста в Новосибирск, спасибо!"
18,"Привет, мне срочно нужно заказать доставку букета лилий в Новосибирске, вы можете помочь?#"
19,"Добрый день! Хочу сделать заказ на доставку цветов в город Москва на завтра. Можно узнать, какие букеты у вас доступны?"
20,Здравствуйте. Хочу заказать букет цветов для мамы в Новосиб. Какие у вас варианты букетов на выбор?
21,Москва. Доставить 100 роз к 12:00. Можете сделать?
22,"3. Здрасте! У вас дешевые букеты цветов в Нижнем Новгороде? Покажите, что есть."
23,"Привет, я хочу купить цветы для своей девушки и доставить их в Нижний Новгород. Есть ли у вас акции или скидки на букеты? "
24,Привет! У вас можно заказать доставку цветов в Нижний Новгород сегодня? Нужен букет на юбилей.
25,"Доставьте цветы в ЕКБ в субботу вечером. Подскажите, как подобрать букет для романтического вечера?"
26,"Здрасте! Цветы нужны быстро в Питере, а то скоро мероприятие начнется! Сможете ли вы оперативно доставить?"
27,"2. Здравствуйте, мне нужно срочно доставить цветы в НН. Как скоро вы сможете это сделать?"
28,"ЕКБ - город красивый, но надоело уже скучную серую рутину. Хочу подарить себе радость и заказать цветы. Какие у вас варианты для доставки?"
29,"Здравствуйте, я бы хотела заказать доставку цветов в Нижний Новгород на завтра. Какие варианты у вас есть? Спасибо."
30,"Привет, нужно отправить цветы в Санкт-Петербург, можно узнать стоимость доставки?"
31,"Добрый день! Хочу заказать цветы для девушки, она живет в Новосибирске. Какие у вас есть варианты букетов?"
32,"Добрый день, хотелось бы приобрести тюльпаны в подарок девушке в Новосибирске, какие у вас варианты букетов?"
33,"Привет. Я очень нуждаюсь в доставке цветов в Новосибирск срочно. Пожалуйста, помогите!"
34,"Здравствуйте, хочу заказать доставку цветов в городе Новосиб. Какие у вас есть варианты и цены? Спасибо!"
35,"Здарова, магаз, дай мне штуку цветов в Новосиб. Срочно!"
36,"Здравствуйте, я хочу сделать заказ цветов на день рождения подруги в Питере. Можно ли заказать доставку утром?"
37,"Привет, вы доставляете цветы в г. Москва? Сколько стоит доставка и какой минимальный заказ?"
38,"Здраствуйте! Надо доставить букет цветов в Новосибирск к 18:00 сегодня, возможно ли это?"
39,"Здравствуйте, хочу заказать доставку цветов в городе Екатеринбург. Сколько стоит букет?"
40,"Здравствуйте, хочу заказать доставку цветов в г. Питер. Какие у вас есть варианты букетов для подруги?"
41,"Здравствуйте, хочу заказать доставку цветов в г. Екатеринбург. Какие у вас есть варианты букетов?"
42,"Привет, мне срочно нужно заказать цветы в Нижний Новгород для извинения. Можете помочь с выбором букета и быстрой доставкой? Спасибо."
43,Добрый день! Я бы хотела заказать доставку цветов в городе Москва. Можно узнать о способах оплаты?
44,"Здравствуйте, я хочу заказать букет роз с доставкой в городе Москве. Какие варианты у вас есть?"
45,Привет! Я хочу заказать доставку цветов в Нур-Султан. Какие у вас варианты букетов?
46,"Добрый день, хочу заказать розы для своей мамы в СПб. Как быстро можно осуществить доставку?"
47,"Привет, хочу заказать доставку цветов в Москве. Какие у вас есть варианты и цены?"
48,"Здравствуйте, интересует доставка цветов в СПб на 14 февраля. Можете предложить что-то романтическое и красивое? Спасибо!"
49,"Здравствуйте, мне нужно доставить цветы в Нижний Новгород завтра утром. Это возможно? Сколько это будет стоить? Спасибо."
50,Добрый день. Хочу заказать букет роз на свадебный юбилей в Нижнем Новгороде. Сколько это будет стоить? Спасибо.
51,"Здравствуйте, почему так долго не отвечаете? Я хочу заказать букет цветов в вашем магазине в Санкт-Петербурге на пятницу."
52,"Добрый день, хочу сделать заказ букета в Санкт-Петербурге на 8 марта. Какие у вас есть варианты и цены? Спасибо!"
53,"Хей, хочу заказать цветы в Екб на день рождения подруги. Можно сделать красивый букет?"
54,"Здравствуйте! Я хочу заказать цветы в НСК, но у меня ограничен бюджет. Можете предложить варианты до 1000 рублей?"
55,"ЕКБ: я готовлюсь к свадьбе и хочу заказать букет для невесты. Подскажите, какие варианты есть и сколько стоит доставка?#"
56,"Здравствуйте, хочу заказать доставку цветов в г. Астана на завтра. Какие у вас есть варианты и цены? Спасибо!"
57,"Добрый день, сколько будет стоить доставка цветов в Екатеринбурге на следующей неделе?#"
58,"Привет, мне нужен букет на день рождения друга, доставьте его в Екатеринбург, пожалуйста."
59,Здравствуйте. Я хочу отправить цветы в подарок в СПб. Можете ли вы помочь с выбором и оформлением заказа?
60,"Здравствуйте, я хочу заказать доставку цветов в г. Нур-Султан. Есть ли у вас возможность доставки сегодня вечером?"
61,"Привет, а можно у вас заказать доставку цветов в Новосиб на завтра? Сколько стоит? Спасибо!#"
62,"Здравствуйте, нужен букет на юбилей, в г. Екатеринбург. Могу я выбрать сам или вы порекомендуете варианты?"
63,Добрый вечер. Я бы хотел заказать доставку цветов в городе Новосибирск на завтра к утру. Это возможно? Спасибо.
64,5. Здравствуйте. Как происходит оплата доставки цветов в Нижнем Новгороде? Нужно ли предварительно оплатить или можно на месте?#
65,Добрый вечер. Хочу заказать букет роз для девушки в Мск. Можно добавить плюшевого мишку к заказу? Сколько это будет стоить? Спасибо!
66,"Добрый день, я бы хотела заказать доставку цветов в городе Екатеринбург на завтра. Можете подсказать, какие у вас есть букеты в наличии?"
67,"1 цветок в Новосибирске, сколько будет стоить?"
68,Привет! Нужна доставка цветов в Алм. Хочу порадовать свою девушку. Какие у вас варианты букетов?
69,Привет! Я хочу заказать букет роз на доставку в ЕКБ. Сколько это будет стоить?
70,"Доставка цветов в Москве - это плохо работает у вас или все-таки есть шанс, что цветы доедут вовремя?"
71,Добрый день! Нужно срочно доставить цветы в Москву! Как быстро вы сможете это сделать и сколько будет стоить? Спасибо!
72,"Привет, доставка цветов в екб возможна сегодня?"
73,Добрый день! Сколько стоит доставка цветов в вашем магазине в Нижний Новгород?
74,"Привет, хочу заказать доставку цветов в екат, сколько это будет стоить и когда можно доставить?"
75,"Здравствуйте, хочу заказать доставку цветов в МСК. Какие у вас есть варианты букетов?"
76,Здравствуйте. Я хочу заказать доставку цветов в Нижний Новгород для своей мамы. Как быстро вы сможете доставить букет ромашек? 
77,"Хей, отправьте цветы в Москву, пожалуйста."
78,Добрый день! Хочу заказать цветы в город мск. У вас есть букеты с герберами? И какие условия доставки? Спасибо!#
79,"Уточните пожалуйста, цены на доставку цветов в Москве. Спасибо!#"
80,"Добрый вечер, я хочу сделать заказ на сегодня в Нижнем Новгороде. Цветы нужны на юбилей. Надеюсь, вы сможете доставить в срок."
81,"Добрый день, хочу отправить цветы в город Екатеринбург, как это сделать?"
82,"Добрый день, хочу заказать цветы в Новосиб, доставку сделать в понедельник. Какова стоимость и какие варианты букетов у вас есть?"
83,Здравствуйте! Хочу заказать доставку цветов в г. мск. Какие у вас варианты букетов на выбор? Спасибо!
84,"Здравствуйте! Я уже несколько раз заказывала у вас цветы и хочу выразить свою благодарность за качественное обслуживание. Скажите, можно ли сделать доставку цветов сегодня в Н.Новгород? "
85,Здравствуйте. Мне нужна доставка цветочного букета в Санкт-Петербург на завтра. Как быстро можно оформить заказ?
86,Добрый день! Я бы хотела заказать доставку букета роз в город Нижний Новгород. Можете подсказать какие у вас есть варианты и цены? Спасибо! 
87,"Привет, хочу заказать доставку цветов в СПб завтра к вечеру. Можно узнать, какие у вас есть варианты букетов и цены? Спасибо!"
88,"Привет, мне нужен красивый букет для свадьбы в Екатеринбурге, поможете подобрать?"
89,"Привет, я хочу заказать букет цветов для своей девушки в Санкт-Петербурге. Что можете посоветовать?"
90,"Добрый день! Хочу заказать цветы для девушки в екат, но не знаю, какие она любит. Поможете подобрать?"
91,"Здравствуйте, хочу заказать цветы на день рождения в Маскве. Какие у вас варианты и цены?"
92,1. Здравствуйте! Я хочу сделать заказ на доставку цветов в Нижнем Новгороде. Какие у вас есть варианты букетов на выбор?
93,"Здравствуйте, сколько стоит доставка цветов в МСК?"
94,Здравствуйте! Хочу заказать доставку цветов в г. Нижний Новгород на завтра. Какие у вас варианты букетов?
95,"Здравствуйте, пожалуйста, доставьте цветы в Екатеринбург на завтра, это возможно?"
96,"Привет, заказываю у вас первый раз. Доставка цветов в Нижнем Новгороде точно будет? Чтобы не было потом недоразумений."
97,Привет! Я хочу заказать доставку цветов в Санкт-Петербург. Какие у вас есть букеты на выбор?
98,Здравствуйте! Я хотел бы заказать доставку цветов в СПБ на завтра. Возможно ли это?
99,Здравствуйте! Буду в ЕКБ на следующей неделе и хочу удивить подругу букетом цветов. Можно оформить заказ заранее?
100,"Привет, отправьте цветы в СПб, очень нужно поднять настроение девушке. Какие у вас расцветки роз?#"
101,"Добрый вечер, хочу купить букет цветов для Москвы. Какие у вас есть варианты?"
102,"Здравствуйте, хочу заказать букет роз для мамы в Новосибирск, можно ли сделать доставку сегодня?"
103,"Здраствуйте, вы можете доставить цветы в Новосибирск прямо сейчас?"
104,"Привет, нужно доставить цветы в Новосиб, пожалуйста, подскажите, сколько времени займет доставка?"
105,"Здравствуйте, сколько стоит доставка цветов в Новосибирск?"
106,Здравствуйте. Хочу заказать букет на день рождения подруги. Как быстро можно сделать доставку в Москве?
107,"Добрый день, мне нужно доставить цветы в г. Екб завтра утром. Какой у вас выбор букетов?"
108,"Добрый день, хочу заказать розы в Екатеринбурге для своей девушки, у вас есть какие-то акции?"
109,"Привет, хочу заказать доставку цветов в Новосиб. Какие у вас варианты букетов и цены?"
110,"Здравствуйте, заказываю цветы в Петербурге. Надеюсь, что качество букета будет на высоте!"
111,Хотел бы послать цветы в МСК. Как это сделать?
112,Здравствуйте. Я бы хотел сделать заказ на доставку цветов в г Нижний Новгород. У вас есть розы?
113,"Здравствуйте! Хочу заказать доставку цветов в Новосибирск, можно узнать условия и цены? Спасибо!"
114,Привет! Доставка цветов в городе Нижний-Новгород только до 15:00?
115,"Привет, доставите букет роз в г. екат? Срочно нужно, можно ли сегодня?"
116,"Привет, сколько стоит доставка цветов в г. нижний новгород? Хочу заказать букет на свадьбу сестры."
117,"Хочу цветы в Новосибирске. Скорее быстро сделайте доставку, сегодня нужно!"
118,Здравствуйте! Хочу заказать букет роз с доставкой в г. Алм. Возможно ли это сегодня?
119,Здравствуйте. Я хочу заказать цветы в Москву на день рождения. Какие у вас есть букеты на выбор? Спасибо!#
